lat,lon,name,loc,image,is_selected
13.39523,78.0515161,,,we.png,FALSE
12.9235169,77.5491948,,,we.png,FALSE
12.851511,77.5564581,,,we.png,FALSE
13.1177676,77.5240889,,,we.png,FALSE
12.879536,77.690326,,,we.png,FALSE
12.936633,77.4848821,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.873321,77.553916,,,we.png,FALSE
13.052533,77.621897,,,we.png,FALSE
13.2109454,77.6572897,,,we.png,FALSE
12.8961281,77.7146553,,,we.png,FALSE
13.2109454,77.6572897,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.9315214,77.584095,,,we.png,FALSE
12.9440855,77.5437236,,,we.png,FALSE
12.8928254,77.6242505,,,we.png,FALSE
12.9750066,77.6358861,,,we.png,FALSE
12.170513,78.168747,,,we.png,FALSE
12.853683,77.559454,,,we.png,FALSE
12.8448903,77.7178752,,,we.png,FALSE
12.8770759,77.7661395,,,we.png,FALSE
12.909106,77.666067,,,we.png,FALSE
12.8770759,77.7661395,,,we.png,FALSE
12.9218027,77.5997587,,,we.png,FALSE
12.9218079,77.5971838,,,we.png,FALSE
12.9203292,77.6715954,,,we.png,FALSE
12.965803,77.7482881,,,we.png,FALSE
12.4005879,75.7678831,,,we.png,FALSE
12.8844125,77.6289565,,,we.png,FALSE
12.9118236,77.7540167,,,we.png,FALSE
12.8974471,77.7041845,,,we.png,FALSE
13.0785161,77.6336894,,,we.png,FALSE
12.894196,77.668466,,,we.png,FALSE
12.8768467,77.7866711,,,we.png,FALSE
12.8891554,77.6049767,,,we.png,FALSE
12.9141388,77.6248647,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
12.77845,77.7390999,,,we.png,FALSE
12.955343,77.6477339,,,we.png,FALSE
12.8680699,77.5238532,,,we.png,FALSE
12.8732211,77.5940272,,,we.png,FALSE
12.928821,77.6681738,,,we.png,FALSE
12.8938809,77.5258827,,,we.png,FALSE
12.9266915,77.6747504,,,we.png,FALSE
12.8601381,77.6479385,,,we.png,FALSE
12.910592,77.6372224,,,we.png,FALSE
13.1215965,77.6037769,,,we.png,FALSE
13.1797575,77.5577866,,,we.png,FALSE
12.9252707,77.7861029,,,we.png,FALSE
13.0050961,77.7234706,,,we.png,FALSE
12.894087,77.66847,,,we.png,FALSE
12.8768467,77.7866711,,,we.png,FALSE
12.9249196,77.6316027,,,we.png,FALSE
12.98085,77.4853401,,,we.png,FALSE
12.8768467,77.7866711,,,we.png,FALSE
12.9204142,77.6879092,,,we.png,FALSE
12.950252,77.481403,,,we.png,FALSE
12.7835904,77.6621593,,,we.png,FALSE
12.9126795,77.6308862,,,we.png,FALSE
